city,date,year,month,day,dow,all,tmean,rh,pm10
London,01jan2002,2002,1,1,2,199,-.22500001,75.678299,71.699997
London,02jan2002,2002,1,2,3,231,.087499954,77.525002,40.200001
London,03jan2002,2002,1,3,4,210,.85000002,81.324997,41.799999
London,04jan2002,2002,1,4,5,203,.53750002,85.449997,50.400002
London,05jan2002,2002,1,5,6,224,4.25,93.525002,49.364285
London,06jan2002,2002,1,6,0,198,7.0687499,96.400002,31.1
London,07jan2002,2002,1,7,1,180,5.1875,93.525002,48.581249
London,08jan2002,2002,1,8,2,188,3.5125,81.5,48.617645
London,09jan2002,2002,1,9,3,168,3.2249999,88.324997,59.200001
London,10jan2002,2002,1,10,4,194,5.3249998,85.400002,48.694736
London,11jan2002,2002,1,11,5,223,2.9937501,92.599998,55.5
London,12jan2002,2002,1,12,6,201,4.7624998,94.175003,41.700001
London,13jan2002,2002,1,13,0,204,8.1812496,91.425003,49.299999
London,14jan2002,2002,1,14,1,184,9.2937498,89.175003,48
London,15jan2002,2002,1,15,2,191,7.2374997,82.824997,41.700001
London,16jan2002,2002,1,16,3,181,4.2374997,83.324997,60.099998
London,17jan2002,2002,1,17,4,179,6.5187502,88.425003,50.099998
London,18jan2002,2002,1,18,5,172,4.6437502,83.324997,50.299999
London,19jan2002,2002,1,19,6,167,7.1187501,70,50
London,20jan2002,2002,1,20,0,167,8.9312496,85.800003,36.200001
London,21jan2002,2002,1,21,1,189,10.8375,81.224998,49.200001
London,22jan2002,2002,1,22,2,183,9.0437498,71.325005,56.200001
London,23jan2002,2002,1,23,3,193,9.2875004,83.224998,42.5
London,24jan2002,2002,1,24,4,173,8.5625,76.025002,33.5
London,25jan2002,2002,1,25,5,177,6.6187501,80.949997,44.099998
London,26jan2002,2002,1,26,6,174,9.2437496,84.550003,32.700001
London,27jan2002,2002,1,27,0,169,10.45625,90.300003,37.799999
London,28jan2002,2002,1,28,1,204,10.33125,61.474998,54.099998
London,29jan2002,2002,1,29,2,164,10.90625,77.525002,61.799999
London,30jan2002,2002,1,30,3,160,11.13125,82.975006,47
London,31jan2002,2002,1,31,4,192,8.4812498,72.699997,48.200001
London,01feb2002,2002,2,1,5,173,9.8562498,78.550003,49.099998
London,02feb2002,2002,2,2,6,167,12.18125,73.025002,44.099998
London,03feb2002,2002,2,3,0,180,9.53125,79.550003,40.599998
London,04feb2002,2002,2,4,1,143,8.0562496,89.175003,32.900002
London,05feb2002,2002,2,5,2,194,9.5812502,76.550003,46.099998
