city,date,year,month,day,dow,all,allage1,allage2,tmean,rh,pm10
Valencia,01jan2002,2002,1,1,2,31,5,26,8.8999996,85,17.799999
Valencia,02jan2002,2002,1,2,3,29,3,26,8.5,89.400002,21.700001
Valencia,03jan2002,2002,1,3,4,23,4,19,10.8,86.800003,43.200001
Valencia,04jan2002,2002,1,4,5,17,2,15,9.6000004,88.099998,19.799999
Valencia,05jan2002,2002,1,5,6,19,6,13,9.1999998,88.800003,15.9
Valencia,06jan2002,2002,1,6,0,26,4,22,9.6999998,87.199997,20.5
Valencia,07jan2002,2002,1,7,1,25,6,19,8.8000002,72.400002,48.900002
Valencia,08jan2002,2002,1,8,2,21,0,21,9.3999996,78.5,26
Valencia,09jan2002,2002,1,9,3,15,3,12,8.8000002,83.599998,18.700001
Valencia,10jan2002,2002,1,10,4,19,1,18,9.6000004,76.199997,39.599998
Valencia,11jan2002,2002,1,11,5,24,3,21,10.7,71.199997,53.099998
Valencia,12jan2002,2002,1,12,6,21,2,19,8.1000004,78.900002,45.200001
Valencia,13jan2002,2002,1,13,0,24,5,19,7.8000002,79.5,45.400002
Valencia,14jan2002,2002,1,14,1,17,2,15,12.6,60.900002,51.599998
Valencia,15jan2002,2002,1,15,2,29,3,26,10.1,64.300003,38.200001
Valencia,16jan2002,2002,1,16,3,16,2,14,11.3,48.099998,44.099998
Valencia,17jan2002,2002,1,17,4,18,3,15,8.3999996,60.200001,50.5
Valencia,18jan2002,2002,1,18,5,18,1,17,9,71.300003,50.599998
Valencia,19jan2002,2002,1,19,6,28,1,27,9.1999998,69.099998,43.599998
Valencia,20jan2002,2002,1,20,0,24,1,23,10,71.900002,29.9
Valencia,21jan2002,2002,1,21,1,15,1,14,9.3000002,76.400002,57.599998
Valencia,22jan2002,2002,1,22,2,16,0,16,12.7,47.700001,45.200001
Valencia,23jan2002,2002,1,23,3,28,3,25,14.3,55.599998,33
Valencia,24jan2002,2002,1,24,4,26,5,21,13.9,43.400002,50.400002
Valencia,25jan2002,2002,1,25,5,23,5,18,12.2,54.200001,39.599998
Valencia,26jan2002,2002,1,26,6,25,6,19,14,58.200001,24.1
Valencia,27jan2002,2002,1,27,0,23,3,20,12.6,59.599998,26.6
Valencia,28jan2002,2002,1,28,1,23,2,21,11.3,61.900002,45.799999
Valencia,29jan2002,2002,1,29,2,19,3,16,11,64.5,49.099998
Valencia,30jan2002,2002,1,30,3,25,5,20,9.1000004,76.900002,61.799999
Valencia,31jan2002,2002,1,31,4,23,4,19,13.6,57.299999,61.200001
Valencia,01feb2002,2002,2,1,5,20,2,18,12.2,60.900002,40.299999
Valencia,02feb2002,2002,2,2,6,18,2,16,9.3999996,69.699997,29.700001
Valencia,03feb2002,2002,2,3,0,20,8,12,11.8,72.300003,29.700001
Valencia,04feb2002,2002,2,4,1,33,6,27,13,67,48.5
Valencia,05feb2002,2002,2,5,2,31,3,28,14.3,60.799999,54.099998
Valencia,06feb2002,2002,2,6,3,20,2,18,14.1,36.5,41.311539
Valencia,07feb2002,2002,2,7,4,26,3,23,12.8,44.700001,33.599998
Valencia,08feb2002,2002,2,8,5,23,6,17,10.2,57.200001,44
Valencia,09feb2002,2002,2,9,6,25,4,21,11.6,66,39.900002
Valencia,10feb2002,2002,2,10,0,22,1,21,12.9,65.900002,36.5
Valencia,11feb2002,2002,2,11,1,19,2,17,11.2,77.800003,39.299999
Valencia,12feb2002,2002,2,12,2,25,7,18,10.3,81.5,68
Valencia,13feb2002,2002,2,13,3,18,2,16,11.5,73.900002,61.900002
Valencia,14feb2002,2002,2,14,4,23,5,18,12.1,59.599998,52.900002
Valencia,15feb2002,2002,2,15,5,17,2,15,10.8,44,28
Valencia,16feb2002,2002,2,16,6,11,3,8,8.8000002,76.900002,23.5
Valencia,17feb2002,2002,2,17,0,19,3,16,9.5,65.300003,20
Valencia,18feb2002,2002,2,18,1,27,3,24,9,60,32.700001
Valencia,19feb2002,2002,2,19,2,26,6,20,9,57.599998,32.900002
Valencia,20feb2002,2002,2,20,3,39,4,35,11.4,44.400002,41.400002
Valencia,21feb2002,2002,2,21,4,25,3,22,15.3,32.799999,55.799999
Valencia,22feb2002,2002,2,22,5,23,5,18,13.3,41.5,30.9
Valencia,23feb2002,2002,2,23,6,25,3,22,13.7,55.099998,33.200001
Valencia,24feb2002,2002,2,24,0,16,4,12,14.6,52.799999,19.9
Valencia,25feb2002,2002,2,25,1,15,2,13,12.7,61.200001,36.200001
Valencia,26feb2002,2002,2,26,2,28,6,22,16.799999,45.799999,59
Valencia,27feb2002,2002,2,27,3,21,3,18,18.700001,34.400002,47.700001
Valencia,28feb2002,2002,2,28,4,18,3,15,18.5,48,30
Valencia,01mar2002,2002,3,1,5,19,4,15,15.1,59.700001,37.900002
Valencia,02mar2002,2002,3,2,6,19,4,15,14,52.700001,24.200001
Valencia,03mar2002,2002,3,3,0,21,3,18,9.3000002,69.5,25.6
Valencia,04mar2002,2002,3,4,1,14,4,10,9.6999998,71.199997,25.700001
Valencia,05mar2002,2002,3,5,2,17,1,16,10,61.799999,34.5
Valencia,06mar2002,2002,3,6,3,13,3,10,12.8,47.799999,34.400002
Valencia,07mar2002,2002,3,7,4,16,4,12,12,60.400002,54.5
Valencia,08mar2002,2002,3,8,5,20,4,16,11.9,62.700001,43.700001
Valencia,09mar2002,2002,3,9,6,20,3,17,13.1,63.5,41.900002
Valencia,10mar2002,2002,3,10,0,21,6,15,13,69.099998,31.9
Valencia,11mar2002,2002,3,11,1,12,2,10,11.3,80.199997,40.200001
Valencia,12mar2002,2002,3,12,2,23,3,20,13.4,83,44.799999
Valencia,13mar2002,2002,3,13,3,26,3,23,12.4,80.699997,45.099998
Valencia,14mar2002,2002,3,14,4,15,3,12,13.1,54.299999,30.9
Valencia,15mar2002,2002,3,15,5,19,5,14,14.7,52.299999,29.700001
Valencia,16mar2002,2002,3,16,6,14,4,10,13,76.699997,36
Valencia,17mar2002,2002,3,17,0,17,5,12,13.5,59.400002,19.6
Valencia,18mar2002,2002,3,18,1,10,2,8,17.6,52.299999,28.299999
Valencia,19mar2002,2002,3,19,2,11,3,8,20,48.400002,31.1
Valencia,20mar2002,2002,3,20,3,18,3,15,19,59,54.5
Valencia,21mar2002,2002,3,21,4,18,2,16,17.9,66.599998,60.5
Valencia,22mar2002,2002,3,22,5,26,2,24,17.700001,54.700001,55.400002
Valencia,23mar2002,2002,3,23,6,19,4,15,16.1,67,46.799999
Valencia,24mar2002,2002,3,24,0,21,2,19,15.2,74.099998,31.700001
Valencia,25mar2002,2002,3,25,1,12,3,9,14.2,76.199997,33.863998
Valencia,26mar2002,2002,3,26,2,24,5,19,14.2,72.599998,42.400002
Valencia,27mar2002,2002,3,27,3,17,1,16,13.1,66.800003,42.099998
Valencia,28mar2002,2002,3,28,4,13,2,11,12.6,68.599998,38.299999
Valencia,29mar2002,2002,3,29,5,12,1,11,10.3,76.699997,17.6
Valencia,30mar2002,2002,3,30,6,15,2,13,11.8,65.800003,17.200001
Valencia,31mar2002,2002,3,31,0,24,2,22,12.3,72.599998,20.799999
Valencia,01apr2002,2002,4,1,1,12,1,11,13.1,75.800003,20.799999
Valencia,02apr2002,2002,4,2,2,17,3,14,10.2,83.300003,17.9
Valencia,03apr2002,2002,4,3,3,16,4,12,13.4,62.700001,42.400002
Valencia,04apr2002,2002,4,4,4,20,7,13,13.5,43.700001,31.063999
Valencia,05apr2002,2002,4,5,5,24,4,20,14.2,47.700001,36.700001
Valencia,06apr2002,2002,4,6,6,16,3,13,14.9,66.199997,21.299999
Valencia,07apr2002,2002,4,7,0,17,3,14,13.2,73.5,14.7
Valencia,08apr2002,2002,4,8,1,15,3,12,14.7,69.699997,23.6
Valencia,09apr2002,2002,4,9,2,18,3,15,15.2,66.400002,43.400002
Valencia,10apr2002,2002,4,10,3,22,5,17,13.3,75.400002,42.200001
Valencia,11apr2002,2002,4,11,4,22,2,20,11.5,84.699997,24.299999
Valencia,12apr2002,2002,4,12,5,17,3,14,11,86.099998,16.700001
Valencia,13apr2002,2002,4,13,6,5,1,4,14.5,66.599998,23.299999
Valencia,14apr2002,2002,4,14,0,17,5,12,13.4,63.200001,23.5
Valencia,15apr2002,2002,4,15,1,9,1,8,13.2,72.300003,34.5
Valencia,16apr2002,2002,4,16,2,18,3,15,12.2,65.900002,36
Valencia,17apr2002,2002,4,17,3,21,3,18,13.6,70.5,43
Valencia,18apr2002,2002,4,18,4,10,2,8,14.3,75.300003,43.599998
Valencia,19apr2002,2002,4,19,5,17,4,13,15.7,70.199997,45.299999
Valencia,20apr2002,2002,4,20,6,23,7,16,17.700001,68,35.5
Valencia,21apr2002,2002,4,21,0,15,3,12,15.9,69.5,29.9
Valencia,22apr2002,2002,4,22,1,12,2,10,16.5,57.299999,32.599998
Valencia,23apr2002,2002,4,23,2,17,4,13,18.299999,51.099998,46.099998
Valencia,24apr2002,2002,4,24,3,13,2,11,18.4,50.5,47.099998
Valencia,25apr2002,2002,4,25,4,19,3,16,20.9,47.299999,46.5
Valencia,26apr2002,2002,4,26,5,17,1,16,19.9,54.299999,58.200001
Valencia,27apr2002,2002,4,27,6,14,2,12,18.9,64.5,56.400002
Valencia,28apr2002,2002,4,28,0,25,6,19,18,75.300003,33.200001
Valencia,29apr2002,2002,4,29,1,13,2,11,18.200001,68.699997,37
Valencia,30apr2002,2002,4,30,2,14,2,12,17.5,72.300003,42.200001
Valencia,01may2002,2002,5,1,3,14,2,12,17.799999,72,30.299999
Valencia,02may2002,2002,5,2,4,11,1,10,14.5,79.099998,29.200001
Valencia,03may2002,2002,5,3,5,18,2,16,11.8,67.400002,21.799999
Valencia,04may2002,2002,5,4,6,17,1,16,14.6,50.099998,20.5
Valencia,05may2002,2002,5,5,0,16,4,12,13.6,64.400002,18.299999
Valencia,06may2002,2002,5,6,1,12,3,9,11.2,84.099998,12.1
Valencia,07may2002,2002,5,7,2,20,3,17,11,86.5,13.5
Valencia,08may2002,2002,5,8,3,12,3,9,13.1,83.300003,20.9
Valencia,09may2002,2002,5,9,4,10,0,10,17.299999,60.900002,29
Valencia,10may2002,2002,5,10,5,14,2,12,16.799999,66,28.1
Valencia,11may2002,2002,5,11,6,13,1,12,16.200001,69.699997,27.6
Valencia,12may2002,2002,5,12,0,22,7,15,17.200001,60.799999,29
Valencia,13may2002,2002,5,13,1,16,3,13,20.200001,57.799999,38.900002
Valencia,14may2002,2002,5,14,2,16,2,14,19.299999,61.700001,37.400002
Valencia,15may2002,2002,5,15,3,14,3,11,18,72.900002,39.200001
Valencia,16may2002,2002,5,16,4,22,7,15,18.9,69.5,43.900002
Valencia,17may2002,2002,5,17,5,13,4,9,19.4,63.700001,39
Valencia,18may2002,2002,5,18,6,18,4,14,21.299999,48,28.4
Valencia,19may2002,2002,5,19,0,9,3,6,19.5,57.599998,24.4
Valencia,20may2002,2002,5,20,1,19,3,16,19.799999,57.5,43.900002
Valencia,21may2002,2002,5,21,2,21,5,16,19.6,65.699997,35.900002
Valencia,22may2002,2002,5,22,3,20,1,19,22.299999,59.400002,81.099998
